iter	Logloss
0	0.653835881
1	0.619921936
2	0.5905180207
3	0.5633297909
4	0.5437962467
5	0.52109835
6	0.5021517463
7	0.4843840016
8	0.4673571122
9	0.4545688611
10	0.4434121154
11	0.4326465016
12	0.4231505337
13	0.4140142891
14	0.4072658214
15	0.3998475781
16	0.3935572546
17	0.3879347191
18	0.3836289714
19	0.3807297937
20	0.377243975
21	0.3732982386
22	0.3688438114
23	0.3657803176
24	0.3623199626
25	0.3592312165
26	0.3565249667
27	0.3544927453
28	0.3525015452
29	0.3502768734
30	0.3487324444
31	0.3470175509
32	0.3448376873
33	0.3433316194
34	0.3421713216
35	0.3405268783
36	0.3398303201
37	0.3383385319
38	0.3370358226
39	0.3359056272
40	0.3345772397
41	0.332985201
42	0.3319695192
43	0.3310736715
44	0.3299417529
45	0.3290485066
46	0.3281056223
47	0.3270800856
48	0.326466393
49	0.3255495917
50	0.3250240579
51	0.324192316
52	0.3238189346
53	0.3231426043
54	0.3223888843
55	0.3218504755
56	0.3209589017
57	0.3203322965
58	0.3197753669
59	0.3192455311
60	0.3188375488
61	0.3184757005
62	0.3179335318
63	0.3172244018
64	0.3167167624
65	0.3161246
66	0.3158070618
67	0.3154415636
68	0.314976002
69	0.3146601178
70	0.3142409397
71	0.3136636983
72	0.3132268547
73	0.312882382
74	0.3126362504
75	0.3122750032
76	0.3119896074
77	0.3116283539
78	0.3113452474
79	0.3110751956
80	0.3108291349
81	0.3105325204
82	0.3102399687
83	0.3097488549
84	0.309386122
85	0.3091703076
86	0.3084074919
87	0.3081198903
88	0.3077717874
89	0.3074988136
90	0.3072813686
91	0.3069447857
92	0.306483035
93	0.3060032811
94	0.3055292179
95	0.3053477833
96	0.3050478049
97	0.3047522297
98	0.3044070238
99	0.3042071268
100	0.303943934
101	0.303580863
102	0.3033535397
103	0.3029977486
104	0.3027330376
105	0.3025191054
106	0.302285227
107	0.3020998378
108	0.3018783466
109	0.3016268784
110	0.3014166761
111	0.301298021
112	0.3011684305
113	0.3010412217
114	0.3009002124
115	0.3008775553
116	0.3008154243
117	0.3007003244
118	0.3005483886
119	0.3003262232
120	0.3001815031
121	0.3000231091
122	0.2998628448
123	0.299720874
124	0.2995650433
125	0.2994370962
126	0.2992264779
127	0.2990695878
128	0.298865437
129	0.2986955291
130	0.2985395423
131	0.2984077116
132	0.2982011053
133	0.2980921209
134	0.297919001
135	0.2977396993
136	0.2973229547
137	0.2970273159
138	0.2969439977
139	0.2968377856
140	0.2967154463
141	0.2965434101
142	0.2964222089
143	0.2962814125
144	0.2961343286
145	0.2959987627
146	0.2958994385
147	0.2957547772
148	0.2956574537
149	0.2954431856
150	0.2953731352
151	0.2951823077
152	0.2949809381
153	0.2948143442
154	0.2947194494
155	0.2944972093
156	0.294350323
157	0.2942005223
158	0.2939776031
159	0.2938598463
160	0.2937264018
161	0.2936788998
162	0.2935648287
163	0.2934057013
164	0.2932477752
165	0.2931564858
166	0.2929617409
167	0.2928842652
168	0.292765206
169	0.2926486641
170	0.2925396689
171	0.2924069153
172	0.2922992516
173	0.2921782752
174	0.292100653
175	0.2920160331
176	0.2918375043
177	0.2917307706
178	0.2916812293
179	0.2915603355
180	0.2914915419
181	0.2913806163
182	0.2912689818
183	0.2911456632
184	0.2910562116
185	0.2909925164
186	0.2909035434
187	0.2907851906
188	0.2907003948
189	0.290606201
190	0.2904744499
191	0.2903693436
192	0.2902925912
193	0.2901872675
194	0.2900557864
195	0.2899931732
196	0.2899293615
197	0.2898817961
198	0.2897718354
199	0.2896576749
200	0.2895958964
201	0.2894693447
202	0.2893638758
203	0.2891567524
204	0.2890716744
205	0.2889696399
206	0.2889221198
207	0.2888824633
208	0.2888556706
209	0.2887411087
210	0.2886134895
211	0.2885513427
212	0.2884610733
213	0.2882790081
214	0.2881791693
215	0.2880986881
216	0.2880275953
217	0.2879557899
218	0.2878565578
219	0.2878548366
220	0.2877116595
221	0.2876164046
222	0.2875536668
223	0.2874204904
224	0.2873891964
225	0.2873320935
226	0.2872697104
