iter	Passed	Remaining
0	190	189901
1	212	106150
2	233	77480
3	254	63250
4	274	54624
5	295	48876
6	315	44794
7	337	41874
8	357	39418
9	378	37509
10	400	35972
11	425	35022
12	446	33914
13	474	33417
14	499	32805
15	520	31994
16	540	31263
17	560	30566
18	580	29975
19	601	29471
20	629	29368
21	650	28930
22	674	28634
23	698	28392
24	718	28029
25	739	27691
26	759	27364
27	779	27068
28	800	26791
29	829	26816
30	851	26612
31	873	26408
32	897	26305
33	918	26090
34	939	25890
35	959	25694
36	979	25495
37	1000	25338
38	1031	25409
39	1053	25281
40	1084	25361
41	1104	25185
42	1126	25074
43	1152	25042
44	1176	24971
45	1202	24935
46	1225	24846
47	1250	24804
48	1275	24762
49	1297	24654
50	1323	24635
51	1344	24515
52	1365	24404
53	1385	24278
54	1406	24174
55	1427	24067
56	1448	23964
57	1478	24019
58	1501	23947
59	1525	23897
60	1549	23852
61	1569	23750
62	1590	23652
63	1611	23561
64	1631	23468
65	1651	23375
66	1672	23291
67	1701	23321
68	1724	23266
69	1748	23225
70	1772	23190
71	1793	23110
72	1813	23029
73	1833	22942
74	1853	22865
75	1874	22793
76	1897	22739
77	1926	22768
78	1947	22709
79	1972	22685
80	1999	22691
81	2022	22644
82	2046	22615
83	2070	22575
84	2098	22593
85	2124	22582
86	2148	22551
87	2178	22576
88	2201	22532
89	2225	22506
90	2250	22478
91	2271	22420
92	2298	22413
93	2321	22378
94	2347	22360
95	2374	22362
96	2398	22323
97	2419	22268
98	2446	22268
99	2468	22220
100	2490	22165
101	2512	22116
102	2544	22155
103	2566	22111
104	2588	22065
105	2610	22012
106	2637	22012
107	2664	22009
108	2690	21993
109	2711	21935
110	2735	21909
111	2759	21877
112	2780	21823
113	2806	21810
114	2827	21762
115	2840	21646
116	2863	21613
117	2885	21570
118	2906	21521
119	2936	21531
120	2957	21484
121	2980	21447
122	3004	21423
123	3026	21380
124	3053	21371
125	3074	21323
126	3098	21300
127	3124	21283
128	3146	21244
129	3170	21214
130	3195	21197
131	3219	21171
132	3243	21142
133	3270	21136
134	3292	21095
135	3313	21047
136	3334	21002
137	3354	20952
138	3374	20904
139	3394	20853
140	3414	20803
141	3435	20756
142	3458	20728
143	3483	20706
144	3504	20663
145	3524	20615
146	3545	20571
147	3565	20525
148	3585	20479
149	3606	20437
150	3626	20392
151	3647	20347
152	3668	20311
153	3697	20311
154	3717	20263
155	3738	20223
156	3758	20179
157	3778	20135
158	3799	20094
159	3819	20052
160	3839	20009
161	3859	19966
162	3886	19957
163	3910	19932
164	3930	19890
165	3950	19846
166	3970	19804
167	3990	19763
168	4010	19722
169	4030	19679
170	4051	19640
171	4071	19597
172	4091	19558
173	4117	19547
174	4139	19513
175	4159	19473
176	4179	19435
177	4201	19402
178	4221	19363
